"ID";"GROUP";"PARTNER";"i"
"001";14;"";7
"005";14;"";7
"015";32;"";7
"017";33;"";7
"019";34;"";7
"021";35;"";7
"031";36;"1013";7
"033";51;"";7
"035";37;"";7
"037";52;"";7
"041";35;"";7
"043";83;"";7
"047";36;"1013";7
"053";36;"";7
"061";11;"";10
"065";12;"";13
"067";12;"";10
"71A";99;"";10
"71B";92;"";10
"073";24;"";7
"075";25;"";7
"079";16;"1005";7
"087";29;"1008";7
"089";20;"1006";7
"091";11;"";10
"093";30;"1009";7
"095";11;"";10
"097";30;"1009";7
"099";17;"1010";7
"101";17;"1010";7
"103";17;"";7
"105";16;"";7
"107";17;"";7
"111";16;"1005";7
"113";16;"";7
"117";4;"";7
"121";1;"";7
"123";2;"";10
"129";77;"";7
"137";61;"";15
"143";67;"";10
"147";64;"";7
"149";70;"";7
"151";71;"";10
"153";71;"";7
"157";6;"";7
"161";8;"";9
"165";9;"";7
"169";39;"";7
"181";39;"1015";10
"183";39;"1015";10
"185";39;"";7
"191";39;"";15
"195";41;"";7
"201";40;"1011";10
"203";43;"";10
"209";41;"";7
"221";48;"1012";10
"223";48;"1012";10
"225";48;"1012";10
"251";82;"";7
"253";39;"";10
"279";3;"1003";7
"287";3;"1003";7
"289";3;"1001";7
"291";9;"";7
"293";19;"";7
"295";3;"1003";7
"297";3;"1003";7
"299";3;"1003";7
"303";71;"";7
"305";39;"";7
"319";50;"";7
"329";36;"1013";7
"333";84;"1007";7
"333A";84;"1007";7
"41A";93;"";7
"41B";94;"";7
"777";3;"";10
"109A";17;"";7
"109B";61;"";7
"115A";30;"";7
"115B";62;"";10
"119A";63;"";7
"11B";31;"";7
"125A";1;"";7
"125B";3;"1003";7
"125C";80;"1000";7
"127A";3;"1003";7
"127C";3;"1001";7
"127D";3;"1001";7
"127E";80;"";7
"129A";5;"";10
"131A";3;"";7
"131B";49;"";10
"133A";15;"";7
"133B";64;"";7
"139A";65;"";7
"139B";17;"";7
"143A";68;"";10
"143B";69;"";10
"145B";64;"";15
"155B";80;"1000";7
"157A";72;"";7
"157B";7;"";7
"163A";3;"";7
"163B";2;"1017";10
"163C";2;"1017";10
"167A";7;"";7
"171A";57;"1014";7
"173B";58;"";7
"173C";59;"";7
"177B";57;"1014";7
"187A";3;"1003";7
"187B";3;"1003";7
"193A";40;"1011";10
"193B";41;"";7
"195A";10;"";21
"197B";42;"";7
"207A";44;"";7
"215A";46;"";7
"215B";47;"";7
"39A";36;"1013";7
"39B";35;"";7
"444A";85;"1018";7
"444B";85;"1018";7
"444C";87;"1020";7
"444D";87;"1020";7
"444E";89;"1021";7
"444F";89;"1021";7
"444G";90;"1022";7
"444H";90;"1022";7
"444J";90;"1023";7
"444K";90;"1023";7
"444L";91;"1024";7
"444M";91;"1024";7
"444N";91;"1024";7
"444P";91;"1025";7
"444Q";91;"1025";7
"444R";91;"1025";7
"444S";86;"1019";7
"444T";86;"1019";7
"444U";89;"";7
"444W";90;"";7
"444X";91;"";7
"444Y";85;"";7
"55A";20;"1006";7
"55B";55;"";7
"57A";25;"";7
"57B";22;"";7
"63B";43;"";7
"77A";20;"";7
"77B";16;"";7
"81A";28;"";7
"81B";29;"1008";7
"9A";14;"";7
"9B";38;"";7
